Date;N1;N2;N3;N4;N5;E1;E2;Winner;Gain
2020-12-29;7;32;39;40;45;3;8;0;28138113
2020-12-25;16;21;27;30;32;3;5;0;17000000
2020-12-22;2;10;16;42;50;4;11;1;43704037
2020-12-18;2;3;13;17;21;7;8;0;31733127
2020-12-15;9;13;21;29;35;1;2;0;17000000
2020-11-12;6;9;13;24;41;3;12;1;200000000
2020-08-12;1;4;21;24;46;2;12;0;200000000
2020-04-12;14;20;27;34;38;1;11;0;200000000
2020-01-12;14;20;29;47;49;4;12;0;178983729
2020-11-27;2;5;8;14;16;8;9;0;163105527
2020-11-24;25;33;38;42;50;8;12;0;144228546
2020-11-20;28;29;39;48;50;5;7;0;130000000
2020-11-17;16;19;25;30;44;2;6;0;77412811
2020-11-13;1;5;17;28;31;1;10;0;67599950
2020-10-11;3;19;29;32;38;5;12;0;50553655
2020-06-11;7;12;37;40;50;1;2;0;39829739
2020-03-11;5;7;18;20;30;6;7;0;26511570
2020-10-30;12;16;20;21;28;3;9;0;17000000
2020-10-27;13;15;28;32;44;3;12;1;87757466
2020-10-23;10;15;19;21;23;3;12;0;77965255
2020-10-20;5;6;15;37;42;3;4;0;65338543
2020-10-16;15;33;38;40;50;3;6;0;54453448
2020-10-13;5;14;38;41;46;1;10;0;40315607
2020-09-10;11;15;35;41;50;5;8;0;30301316
2020-06-10;4;21;36;41;47;9;11;0;17000000
2020-02-10;6;12;15;40;45;3;9;1;30627859
2020-09-29;4;14;16;41;44;11;12;0;17000000
2020-09-25;19;23;34;37;45;1;7;1;130000000
2020-09-22;16;25;28;39;40;1;6;0;77251357
2020-09-18;2;10;19;25;45;1;7;0;67276035
2020-09-15;16;20;25;30;38;6;8;0;51364535
2020-11-09;34;38;42;43;45;9;12;0;40532810
2020-08-09;2;9;31;35;41;9;12;0;27031840
2020-04-09;6;22;29;40;43;4;7;0;17000000
2020-01-09;4;8;10;33;46;8;11;1;157170843
2020-08-28;7;12;16;17;31;7;9;0;142306851
2020-08-25;18;37;39;30;7;10;8;0;125020060
2020-08-21;10;15;35;44;50;3;5;0;111858946
2020-08-18;6;12;17;34;42;5;12;0;96747721
2020-08-14;9;10;19;42;49;4;12;0;86162555
2020-11-08;8;13;14;42;50;3;9;0;73494414
2020-07-08;5;20;21;36;41;6;11;0;64058391
2020-04-08;42;2;5;1;15;8;5;0;49112673
2020-07-31;21;24;30;46;49;2;5;0;38953665
2020-07-28;9;13;15;17;34;2;7;0;26261754
2020-07-24;8;9;27;28;50;4;12;0;17000000
2020-07-21;14;15;24;29;42;2;4;1;49564587
2020-07-17;7;15;27;41;43;7;9;0;39348808
2020-07-14;11;22;30;37;47;9;10;0;26440749
2020-10-07;15;17;23;30;38;2;7;0;17000000
2020-07-07;12;16;23;33;41;8;10;1;144542315
2020-03-07;4;16;27;37;39;3;6;0;130000000
2020-06-30;1;6;11;28;42;2;10;0;62297693
2020-06-26;1;10;12;21;26;5;11;0;51471751
2020-06-23;19;46;49;12;2;8;1;0;38429546
2020-06-19;5;14;19;24;43;3;11;0;29065639
2020-06-16;4;9;11;17;39;2;10;0;17000000
2020-12-06;2;24;39;45;46;4;8;1;51583717
2020-09-06;5;15;27;36;46;2;8;0;38666415
2020-05-06;5;11;17;24;37;3;6;0;29131137
2020-02-06;10;12;22;26;49;7;11;0;17000000
2020-05-29;4;8;11;19;46;4;8;1;17000000
2020-05-26;4;9;14;21;27;4;6;2;37143480
2020-05-22;3;18;22;27;32;2;7;0;28245446
2020-05-19;5;25;32;37;43;6;7;0;17000000
2020-05-15;11;23;32;34;39;1;6;1;72969058
2020-12-05;9;16;29;37;39;4;11;0;63861474
2020-08-05;8;25;32;33;38;7;9;0;57015368
2020-05-05;2;10;22;27;41;2;3;0;48838406
2020-01-05;47;20;19;45;38;2;6;0;41201741
2020-04-28;15;23;26;28;32;1;5;0;32299012
2020-04-24;1;5;19;21;28;4;7;0;25497940
2020-04-21;10;11;14;23;28;6;8;0;17000000
2020-04-17;16;28;32;37;45;1;11;1;67188313
2020-04-14;6;29;34;35;40;4;11;0;59184725
2020-10-04;3;10;17;33;39;1;4;0;53434751
2020-07-04;4;5;14;33;48;7;12;0;45796215
2020-03-04;16;19;34;46;50;2;6;0;39141320
2020-03-31;12;17;24;30;36;1;9;0;30777246
2020-03-27;11;14;27;41;46;2;3;0;24704307
2020-03-24;7;12;26;30;33;10;11;0;17000000
2020-03-20;40;9;20;34;3;6;12;1;17000000
2020-03-17;5;7;8;16;20;2;12;1;63600033
2020-03-13;3;11;21;27;36;9;10;0;55850379
2020-10-03;11;23;30;37;43;5;12;0;40555593
2020-06-03;15;38;43;45;46;1;11;0;30399605
2020-03-03;4;14;27;44;45;1;10;0;17000000
2020-02-28;8;11;20;22;23;3;4;1;67084644
2020-02-25;1;4;18;27;42;4;6;0;51940006
2020-02-21;7;23;30;32;45;5;9;0;41085850
2020-02-18;11;32;34;38;47;2;10;0;27039366
2020-02-14;5;20;35;41;49;6;10;0;17000000
2020-11-02;24;26;32;43;46;6;10;1;17000000
2020-07-02;9;15;17;25;40;3;9;1;130000000
2020-04-02;21;23;33;35;47;6;7;0;40857417
2020-01-31;13;18;20;23;30;2;4;0;28934315
2020-01-28;1;19;27;31;38;4;5;0;17000000
2020-01-24;3;4;6;9;24;5;8;1;28601720
2020-01-21;10;11;24;36;46;3;5;0;17000000
2020-01-17;8;19;20;29;44;3;8;1;100779289
2020-01-14;21;25;29;39;44;8;9;0;91228644
2020-10-01;6;17;32;44;46;2;6;0;84145912
2020-07-01;5;8;12;37;43;6;11;0;75337663
2020-03-01;5;15;20;36;47;8;12;0;64992459
2021-02-02;18;20;35;38;48;9;12;0;41721143
2021-01-29;1;5;27;36;42;1;6;0;30681161
2021-01-26;5;7;25;37;40;2;8;0;17000000
2021-01-22;8;16;42;44;47;6;7;1;80566353
2021-01-19;25;27;31;35;43;5;6;0;67733808
2021-01-15;4;10;27;38;40;3;11;0;56331898
2021-12-01;2;10;18;34;35;6;9;0;41607178
2021-08-01;18;23;37;41;42;4;6;0;30824040
